Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1747332604044
Timestamp end: 1747333604288

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      227.9   236.2    63.8   109.8   137.3   222.5   244.8   256.7   266.2   275.9   291.7   316.9   390.1  1786.3 11284.2   8412.6     8385
read      271.4   154.6    63.8   142.6   155.8   263.6   310.0   333.5   348.9   367.2   389.6   423.3   507.3  1598.0  4347.4  34087.4    34088
read      267.9   206.6    63.8   147.4   156.6   220.9   272.1   305.9   330.3   358.9   398.9   524.0   951.0  1562.3  4424.0 113603.1   113600
read      237.5   179.4    63.8   148.8   157.1   211.6   249.6   275.4   295.4   318.6   345.7   383.8   462.9  1325.3  7117.6 131945.6   131842
read      236.3   150.9    54.7   144.6   153.6   209.9   254.3   284.3   305.0   327.2   352.2   386.9   461.1   714.6  6280.0 111983.4   112066
read      242.3   151.2    63.8   142.1   151.7   222.7   276.7   300.4   316.0   333.4   353.6   382.6   446.0   596.7  7174.8  72550.1    72585
read      236.4   156.3    59.1   149.4   158.1   212.7   250.3   275.8   295.3   318.0   344.8   381.9   457.7   801.7  4466.1 133601.3   133669
read      235.6    81.6    63.8   118.1   156.4   234.8   259.9   273.1   283.7   295.3   312.5   339.4   403.4   654.5  2705.6  11819.8    11820
read      243.6   117.4    68.9   120.8   157.6   244.1   270.1   284.2   293.9   307.1   322.9   349.4   412.4   760.5  2531.5  12623.1    12639
read      431.7   491.7    63.8   161.9   177.1   259.0   297.9   339.6   398.0   661.7  1205.0  1475.8  2261.6  3854.7  8019.8 118325.6   118548
read      245.5   192.3    63.8   157.9   168.3   225.7   257.2   276.8   292.5   311.5   336.4   373.6   462.2  1524.8  7016.7 165470.1   165754
read      242.6   160.1    63.8   142.5   151.8   216.1   269.4   297.5   316.4   336.8   360.8   395.7   485.0  1111.8  4373.1  86569.4    86823
read      245.6   145.4    63.8   130.2   158.5   241.3   268.4   283.4   294.1   308.0   324.9   354.0   433.4  1515.5  6073.6  16932.4    16898
read      248.3   180.6    63.8   147.8   156.6   218.1   263.6   292.8   314.7   339.8   370.5   420.9   541.1  1479.1  5417.4 122943.2   123124
